,ID,vaccinated,recovered,infected,dead,curr_location,color,num_infected
0,1,True,False,False,False,"(11, 10)",green,0
1,497,True,True,False,False,"(7, 13)",green,1
2,26,False,False,False,False,"(7, 13)",green,0
3,234,False,False,False,False,"(7, 13)",green,0
4,371,False,False,False,False,"(15, 10)",green,0
5,442,False,False,False,False,"(11, 18)",green,0
6,357,False,False,False,False,"(15, 14)",green,0
7,27,False,False,False,False,"(14, 6)",green,0
8,48,False,False,False,False,"(14, 6)",green,0
9,370,True,True,False,False,"(14, 6)",green,1
10,348,False,False,False,False,"(18, 3)",green,0
11,240,False,False,False,False,"(10, 8)",green,0
12,475,True,True,False,False,"(10, 8)",green,1
13,55,False,False,False,False,"(14, 5)",green,0
14,130,False,False,False,False,"(10, 2)",green,0
15,65,False,False,False,False,"(3, 13)",green,0
16,53,False,False,False,False,"(3, 13)",green,0
17,308,False,False,False,False,"(15, 20)",green,0
18,306,False,False,False,False,"(15, 20)",green,0
19,415,False,False,False,False,"(15, 20)",green,0
20,259,False,False,False,False,"(15, 17)",green,0
